ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00086;Shrimps. canned;9.71;336;1.2;0.8;16.5
Ra00087;Cod. fillet. breaded. raw;2.41;486;0.8;12.9;13.7
Ra00088;Caviar. Danish (roe. lump-sucker);4.16;443;5.7;0.8;12.9
Ra00089;Fish cake. fried;3.35;650;6.7;9.8;13.7
Ra00090;Cod. liver. smoked;3.58;2568;66.6;1;5.1
Ra00091;Cod. liver. raw;2.81;2568;66.6;1;5.1
Ra00092;Lobster. canned;6.35;379;1.5;0.3;18.7
Ra00093;Mussels. in water. canned;1.69;433;3;0;17
Ra00094;Tuna. in tomato sauce. canned;4.48;478;2.9;4.6;17.2
Ra00095;Cod. roe. raw;4.15;508;2.6;1.5;23.2
Ra00096;Crab claws. meat. raw;9.77;473;1.8;0;22.9
Ra00097;Caviar. made from capelin roe;4.15;770;14;5.7;9.1
Ra00098;Tuna. in water. canned;4.03;451;1.2;0;23.9
Ra00099;Halibut. greenland. smoked;2.69;838;16.1;0;14.3
Ra00100;Fish fillet. breaded. deepfried;2.71;1201;16.1;21.9;13.4
Ra00101;Fish fingers. breaded. frozen;2.37;787;8.4;15.2;12.8
Ra00102;Rye flour. dark. whole meal;1.17;1403;2.3;54.8;9.4
Ra00103;Wheat. flour. wholemeal;1.24;1398;2.4;46.8;11.4
Ra00104;Rye kernels. whole/cracked;1.17;1401;2.3;58.2;9.7
Ra00105;Wheat. kernels. whole/cracked;1.24;1438;2;61.9;11.5
Ra00106;Rice flour;5.12;1527;1.3;78.9;7.7
Ra00107;Corn flour;1.61;1528;2.8;88.3;6.8
Ra00108;Eggs. chicken. free-range hens (indoor). raw;0.97;580;9.5;1.1;12.3
Ra00109;Burbot. raw;7.14;297;0.5;0;16.4
Ra00110;Perch. raw;4.08;327;1.3;0;16.4
Ra00111;Pikeperch. raw;3.67;368;0.7;0.5;19.2
Ra00112;Pike. raw;3.67;379;1.2;0;19
Ra00113;Bream. raw;8.03;452;4;0;16.7
Ra00114;Charr. raw;6.91;414;2.7;0;18.5
Ra00115;Trout. raw;1.33;553;6.7;0;17.9
Ra00116;Whitefish. raw;7.14;478;3;0;21.6
Ra00117;Fruit juice. mixed. sweetened. concentrated;2.52;741;0;43.4;0.2
Ra00118;Elderberry. juice. concentrated. sugar added;4.00;931;0.5;53.2;0.5
Ra00119;Olives. green. pickled. canned;2.05;554;11.7;5;1
Ra00120;Pear. canned;0.95;299;0.2;15.7;0.3
Ra00121;Nut paste with cacao. spreads;5.16;2192;30;54.5;7
Ra00122;Orange juice. canned;1.49;180;0.1;8.4;0.6
Ra00123;Pineapple. canned;1.13;269;0.3;3.7;0.4
Ra00124;Strawberry jam;2.21;857;0.3;49;0.3
Ra00125;Raisins. seedless;3.58;1412;1.6;68.8;3.2
Ra00126;Raspberry marmalade;2.21;860;0.6;48.1;0.6
Ra00127;Hare. raw;3.27;471;1.9;0;21.6
Ra00128;Rabbit. flesh only. raw;3.27;495;4;0;20.4
Ra00129;Pheasant. flesh and skin. raw;3.27;712;9.3;0;21.7
Ra00130;Squab (pigeon). raw;3.27;1190;23.8;0;18.2
Ra00131;Barley groats. raw;1.78;1476;2.4;62.2;9.9
Ra00132;Oats. rolled. not enriched;1.94;1541;6.7;57;14.2
Ra00133;Rice groats. raw;5.09;1528;1.3;78.1;6.8
Ra00134;Parsley. raw;0.45;201;1.1;1.2;3.7
Ra00135;Dill. raw;0.45;201;1.1;4.9;3.5
Ra00136;Garlic. raw;1.25;669;0.5;30.9;6.4
Ra00137;Chives. raw;0.43;107;0.6;1.5;2.4
Ra00138;Cress. garden. raw;0.45;111;0.5;0.2;2.8
Ra00139;Olives. black. without stones. in brine;2.05;463;9.8;2.9;1
Ra00140;Hazelnut. dried;6.95;2712;60.6;3.3;15.6
Ra00141;Sunflower seeds. decorticated. dried;3.13;2564;54.4;3.6;24.2
Ra00142;Sesame seeds. decorticated;7.30;2657;57.4;1.8;26.8
Ra00143;Walnuts. dried;5.69;2924;64.6;2.8;16.6
Ra00144;Cashew nuts. dry roasted;12.47;2504;46.4;26.9;18.1
Ra00145;Pumpkin seeds. dried;5.69;2351;45.9;2;36.3
Ra00146;Honey;0.81;1391;0;75.1;0.3
Ra00147;Ice cream. dairy. (wholemilk based);2.71;649;3;23.5;4
Ra00148;Ice cream. dairy (cream based);2.71;865;10;25.1;4
Ra00149;Ice. popsickle. lemonade;1.25;370;2;16.9;0.5
Ra00150;Vinegar;1.58;84;0;5.4;0.4
Ra00151;Salt. table;0.44;0;0;0;0
Ra00152;Rhubarb. raw;0.38;108;0.3;1.9;0.9
Ra00153;Celery. raw;0.38;98;0.2;1.9;0.7
