ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00388;Fresh pasta. fettucine spinach;1.53;1120;2.5;48;11
Ra00389;Tuna salad;2.06;766;14;5.1;9.4
Ra00390;Egg salad;1.50;982;22;3.7;6.3
Ra00391;Meatballs;3.61;908;15;6.5;14
Ra00392;Hummus. done;2.26;1165;20;16;7.7
Ra00393;Lasagne. vegan. ready meals;1.46;476;4;13;5.7
Ra00394;Pancakes. ready meals;2.44;1113;9.6;36.5;7.5
Ra00395;Potato gratin / cream potatoes;1.07;505;7.4;12;1.6
Ra00396;Kebab;53.92;697;6;2.5;25
Ra00397;Icetea. peach;0.94;140;0;8;0
Ra00398;Energy drink;0.58;195;0;11;0
Ra00399;Alcoholic soda. 4%;0.90;67;0;9;0
Ra00400;Salsa. hot;1.42;130;0.1;5.5;1.2
Ra00401;Tortilla bread. wheat;1.16;1300;7.5;51;8
Ra00402;Pizzasauce;1.92;150;0.5;5.4;1.6
Ra00403;Pastasauce;1.92;128;0.2;4.5;1.3
Ra00404;Coconut milk;6.33;764;19;2;1.6
Ra00405;Garlic baguette. frozen;1.44;1244;14;36;5.7
Ra00406;Muesli bar. chocolate;3.01;1910;17.6;65.8;6.8
Ra00407;Cup noodles chicken;1.89;335;3.4;10.3;1.9
Ra00408;Sliced mushrooms;0.32;76;0.4;0.2;2.1
Ra00409;Microwave popcorn;1.81;1936;25;46.4;8.4
Ra00410;Thai meal panang curry chicken;3.61;638;4.6;21;6.1
Ra00411;French fries. frost;0.80;609;4.4;23;2.4
Ra00412;Pancake puffs;1.54;878;6.5;31;6
Ra00413;Chickpeas. canned;1.15;303;1;9;4
Ra00414;Green beans. frost;2.16;140;0;4.1;2
Ra00415;Tortilla chips. cheese;2.43;2041;25.6;55.5;6.7
Ra00416;Asparagus slices;1.79;69;0.1;2.2;1.3
Ra00417;Corn cob;0.98;443.8;2.4;22;3.1
Ra00418;Arugula salad. rinsed;0.57;146;0.7;3.7;2.6
Ra00419;Olive tapenade;2.77;1040;25.1;3.6;1.4
Ra00420;Stuffed fresh pasta;1.88;1021;6;36;11
Ra00421;Pepperoni;5.70;2153;49;1;19
Ra00422;Kidney beans;1.17;299;1;9;5
Ra00423;Chicken. whole;3.27;635;8.9;0.5;18
Ra00424;Chorizo. sliced;5.96;1202;21;1;24
Ra00425;Potato salad;1.25;625;10;12;2
Ra00426;Cider 4.5%;1.15;237;0;7.3;0
Ra00427;Falafel. frost;2.11;1220;12;24;7.5
Ra00428;Potato hotchpotch. beef. ready meals;18.91;616;5.2;14;10
Ra00429;Potato hotchpotch. mixed meat. ready meals;12.55;595;6.5;15;5
Ra00430;Vegetable steaks;1.52;781;8;23.2;3.6
Ra00431;Spring rolls. vegetables. ready meals;3.11;723;7;22;3.7
Ra00432;Spring rolls. chicken. ready meals;2.58;630;4.7;19.2;6.5
Ra00433;Spring rolls. beef. ready meals;5.36;637;4.9;19.3;6.4
Ra00434;Meatballs in curry with rice and curry sauce. ready meals;2.35;538;6.5;13;4.5
Ra00435;Leek pie with bacon. ready meals;1.42;1044;16;19;6
Ra00436;Croque monsieur. ready meals;1.60;1159;9.6;35;12
Ra00437;Capers;1.05;97;0.9;4.7;1.9
Ra00438;Baby corn;0.69;109;0.1;4;1.4
Ra00439;Black beans;1.17;303;0.6;8;5.3
Ra00440;Half peaches in juice;1.65;208;0.1;11.2;0.5
Ra00441;Marinated artichokes;4.15;278;5.5;2.6;1.8
Ra00442;Cornichons;3.07;110;1.3;2.2;1
Ra00443;Garlic in oil;2.46;1014;9.8;31.5;6.2
Ra00444;Half pears in juice;1.23;191;0.1;10.5;0.3
Ra00445;Marinated grilled peppers;2.53;159;0.9;5.5;0.9
Ra00446;Tahin. sesame paste;7.70;2784;61.4;10.5;21
Ra00447;Sundried tomatoes;2.72;851;15.3;12.2;2.7
Ra00448;Red lentils. dried;3.08;1520;6.9;49;20
Ra00449;Ajvar. relish;2.96;417;6;13;1
Ra00450;Vegan bean paste;2.14;1001;7.6;29;9.7
Ra00451;Plant paste. pea protein and mushroom;0.93;887;16;5.1;11
Ra00452;Chilli cheese tops;1.43;1064;13;25;8.5
Ra00453;Mozarella sticks;1.60;1341;18;20;18
Ra00454;Chili con carne. ready meals;30.41;341;4;4.8;6
Ra00455;Vegan balls. soy based;0.66;750;10;3.9;15
Ra00456;Vegan schnitzels. soy based;1.87;963;13;13;13
Ra00457;Vegan burgers. soy based;0.69;692;9;3.9;15
Ra00458;Vegan minced. pea based;0.88;880;11;9.6;18
Ra00459;Vegan sausages. soy based;1.43;743;11;4.3;13
Ra00460;Vegan nuggets. soy based;1.95;903;10;15;14
Ra00461;Vegan pulled beans;1.89;586;0.5;2.3;27.4
Ra00462;Pulled pork;4.52;534;6.4;1.5;16
Ra00463;Pulled beef;56.34;511;3.6;4;18
Ra00464;Vegan chorizo;1.68;744;10.4;4.1;14.6
Ra00465;Rice noodles;4.93;1515;1.2;82;5.1
Ra00466;Jalapenos;1.51;138;0.5;6;1
Ra00467;Taco shells;2.37;2000;21.6;63.8;5.9
Ra00468;Mango chutney;3.12;940;0;55;0
Ra00469;Green curry paste;2.06;662;12;8.7;1.6
Ra00470;Noodles. eggs;1.74;1477;2.1;68;14.3
Ra00471;Rice pancakes;4.50;1430;0.5;77.4;5.8
Ra00472;Vegan ice cream. oats;2.31;888;9.9;27.3;1.2
Ra00473;Vegan mayo;2.67;2572;68.8;0.9;0.6
Ra00474;Mushroom burger;1.34;679;7.1;4.1;19
Ra00475;Vegan cold cuts;2.67;680;14;1.3;7.8
Ra00476;Vegan block;2.60;2804;75;0.5;0.5
Ra00477;Magarine;2.49;2237;60;0.5;0.5
Ra00478;Vegan bacon;0.35;880;5.9;3.2;35.3
Ra00479;Vegan fillet pieces;1.78;655;4.7;1.2;22.5
Ra00480;Falafel mince;2.06;655;4.1;20;6.5
Ra00481;Pea drink;0.71;45;3.1;3.8;0.5
Ra00482;Portobello mushroom;0.26;137;1.5;5.1;2.5
Ra00483;Food grain. kamut;1.87;1390;2;63.5;13.9
Ra00484;Chili Sauce;2.10;975;0.7;55.1;0.6
Ra00485;Red onion;0.81;209;0.3;10;1.6
Ra00486;Basil. fresh;0.38;92.11;0.6;2.7;3.2
Ra00487;Basil. dried;2.80;1012;4;10.1;23
Ra00488;Cold buttermilk soup;0.87;315;2.2;11;3.2
Ra00489;Beef. low fat ;53.19;570;5.5;0.5;21
Ra00490;Grilled sausages;2.16;1201;25;4;12
Ra00491;Apple juice;1.68;183;0.5;10;0.5
Ra00492;Minced lamb;34.73;639;14;0;20
Ra00493;Burger buns;1.16;1258;5.6;53;8.6
Ra00494;Blue cheese;1.60;1623;36;0.1;17
Ra00495;Goat cheese;1.60;1393;28;1;20
Ra00496;Vegan cheese. grated or sliced;1.00;1037;17;22.8;1.3
Ra00497;Samosa. vegetarian frost;1.28;791;10.2;21.3;3
Ra00498;Cold chocolate;4.99;2403;40;44;8.9
Ra00499;Nutella. nut cream;5.16;2278;31.6;57.6;6
Ra00500;Smoothie. strawberry blueberry;1.84;183;0;9.5;0.4
Ra00501;Average pork;4.69;1050;20;0;18
Ra00502;Average chicken;3.27;840;8;0;27
Ra00503;Average beef;74.84;1060;15;0;20
Ra00504;Gazpacho;;180;1.5;4;1.5
Ra00505;Tortilla de patatas;;800;15;18;6
Ra00506;Churros. frozen;;1140;9;43;4
Ra00507;Turron. hard;;2050;32;43;11
Ra00508;Turron. soft;;2080;30;46;9
Ra00509;Turron. egg yolk;;1970;26;50;9
Ra00510;Serrano dry -cured ham. sliced;;1080;18;1;29
Ra00511;Iberian dry-cured ham. sliced;;1300;22;1;29
Ra00512;Sobrasada;;2450;57;3;20
Ra00513;Anchovy fillets. in olive oil;;900;12;0;26
Ra00514;Salmorejo;;480;7;4;2.5
Ra00515;Seafood paella. frozen;;550;5;15;7
Ra00516;Mixed salad. ready meal;;300;2;8;2
Ra00517;Bottled still water;0.49;0;0;0;0
Ra00518;Horchata;;440;3;18;1
Ra00519;Croissants;;1680;21;45;7
Ra00520;Camembert;;1210;24;0.5;21
Ra00521;Pâté;5.20;1280;28;1;14
Ra00522;Crème Brûlée;;980;11;25;4
Ra00523;Cassoulet. canned;;590;6;12;8
Ra00524;Pain au chocolat;;1620;22;42;7
Ra00525;White ham;;620;3;1;22
Ra00526;Smoked ham;;750;6;1;21
Ra00527;Sausages like chipolatas;;1200;23;0;17
Ra00528;Dry sausage;;1800;35;0;28
Ra00529;Madeleine;;2000;28;48;6
Ra00530;Baguette;;1050;1;56;8
Ra00531;Foie gras. terrine;;1800;35;2;7
Ra00532;Foie gras. cru;;1760;40;2;6
Ra00533;Hagelslag;;2000;22;65;4
Ra00534;Volkoren bread;;980;3;40;7
Ra00535;Dropjes;;1400;0;85;0
Ra00536;Speculaas;;2000;25;66;5
Ra00537;Gouda cheese;;1660;33;2;24
Ra00538;Fruit syrup;;1000;0;60;0
Ra00539;Rookworst;;1100;23;2;12
Ra00540;Herring. pickled. jar glass in NL;;840;17;1;14
;;;;;;

